# Mapping generated from sheet data-services-unique, input data.csv output 3_services_1.csv
"category";"label";"equipments";"tags"
"Service à la personne";"Accompagnement";"";""
"Jardin & équipements";"Affutage outils de jardin";"";""
"Service à la personne";"Aide aux personnes agées";"";""
"Service à la personne";"Aide aux personnes handicapées";"";""
"Evènementiel ";"Animation ";"";""
"Langues";"Apprentissage langues";"";""
"Smartphone & Tablette";"Assistance smartphone & tablette";"";""
"Loisirs créatifs";"Atelier bijoux";"Pâte fimo;Fermoirs griffes et attaches;Pinces;Perles et fils";""
"Loisirs créatifs";"Atelier confection";"Produits atelier";""
"Loisirs créatifs";"Atelier couture & broderie";"Crochets;Fil et aiguilles;Machine à coudre";""
"Loisirs créatifs";"Atelier décoration";"Colle;Pinceaux;Matériel de poterie";""
"Beauté & bien être";"Barbier";"Couteau de barbier;Tondeuse;Mousse à raser;Produits techniques;Produits soin barbe";""
"Beauté & bien être";"Beauté des mains et pieds";"Lampe à UV;Nail art;Vernis gels capsules";""
"Maison & travaux";"Chauffage";"Caisse à outils;Raccords et joints";""
"Jardin & équipements";"Clôture & portail";"Caisse à outils;Poste à souder";""
"Jardin & équipements";"clôture & portail";"Caisse à outils;Poste à souder";""
"Beauté & bien être";"Coaching bien-être";"";""
"Beauté & bien être";"Coiffure";"Sèche cheveux;Serviette;Produits techniques;Epingles et accessoires cheveux;Shampoing;Tondeuse;Peigne et ciseaux";""
"Beauté & bien être";"Coiffure afro";"Sèche cheveux;Serviette;Produits techniques;Epingles et accessoires cheveux;Shampoing;Extensions et tissage;Peigne et ciseaux";""
"Conciergerie ";"Conciergerie administrative";"";""
"Conciergerie ";"Conciergerie Airbnb";"Produits d'entretien;Aspirateur;Raclette vitre;Lessive et produits de lavage";""
"Maison & travaux";"Conducteur d'engin de chantier";"Engin associé ";""
"Administratif";"Conseil";"";""
"Vêtements, chaussures & accessoires";"Cordonnerie ";"Matériel de cordonnerie";""
"Loisirs créatifs";"Cours d'art";"";""
"Sport & Coaching";"Cours d'arts martiaux ";"";""
"Sport & Coaching";"Cours d'équitation";"Cheval;Bombe;Selle";""
"High tech";"Cours d'informatique";"Ordinateur ";""
"Musique & chant";"Cours d'instrument à cordes";"Piano;Violoncelle;Violon;Guitare;Guitare électrique;Guitare basse;Mandoline;Ukulélé;Contrebasse;Cithare";""
"Musique & chant";"Cours d'instrument à vent";"Clarinette;Flûte;Saxophone;Trompette;Harmonica;Accordéon;Clarinette;Cornemuse;Cor;Tuba";""
"Cuisine & vins";"Cours d'oenologie";"Vins;Carafe à décanter;Tire-bouchon";""
"Musique & chant";"Cours de chant";"";""
"Cuisine & vins";"Cours de cuisine";"Ingrédients;Ustensiles de cuisine";""
"Sport & Coaching";"Cours de danse";"";""
"Sport & Coaching";"Cours de Golf";"Clubs de golf et balles";""
"Musique & chant";"Cours de MAO";"Synthétiseur;Ordinateur";""
"Auto-Moto";"Cours de mécanique";"";""
"Sport & Coaching";"Cours de natation";"";""
"Cuisine & vins";"Cours de pâtisserie";"Ingrédients;Ustensiles de cuisine";""
"Musique & chant";"Cours de percussions";"Batterie;Tam-tam;Djembé;Xylophone;Tambour;Timbales";""
"Sport & Coaching";"Cours de pilates";"Tapis;Swissball;Foam roller";""
"Sport & Coaching";"Cours de plongée";"Bouteille d'oxygène;Gilet de sauvetage;Masque et tuba;Combinaison";""
"Sport & Coaching";"Cours de ski";"";""
"Musique & chant";"Cours de solfège";"Partitions";""
"Sport & Coaching";"Cours de tennis";"Raquettes et Balles";""
"Sport & Coaching";"Cours de tennis de table";"Raquettes et Balles";""
"Sport & Coaching";"Cours de Yoga";"Tapis;Swissball;Foam roller";""
"Cours scolaire";"Cours niveau primaire";"";""
