"label";"logo";"name_logo"
"Accordéon";"Accordeon.svg";"uploads/Accordeon.svg"
"Appareil photo";"Appareil_photo.svg";"uploads/Appareil_photo.svg"
"Appareil à cire";"Appareil_a_cire.svg";"uploads/Appareil_a_cire.svg"
"Arrosoir";"Arrosoir.svg";"uploads/Arrosoir.svg"
"Aspirateur";"Aspirateur.svg";"uploads/Aspirateur.svg"
"Aspirateur à feuilles";"Aspirateur_a_feuilles.svg";"uploads/Aspirateur_a_feuilles.svg"
"Aviron";"Aviron.svg";"uploads/Aviron.svg"
"Bandes à enduire";"Bandes_a_enduire.svg";"uploads/Bandes_a_enduire.svg"
"Bandes épilation";"Bandes_epilation.svg";"uploads/Bandes_epilation.svg"
"Bateau à Voile";"Bateau_a_Voile.svg";"uploads/Bateau_a_Voile.svg"
"Batterie";"Batterie.svg";"uploads/Batterie.svg"
"Batterie smartphone";"Batterie_smartphone.svg";"uploads/Batterie_smartphone.svg"
"Bombe";"Bombe.svg";"uploads/Bombe.svg"
"Booster";"Booster.svg";"uploads/Booster.svg"
"Bouteille d'oxygène";"Bouteille_d'oxygene.svg";"uploads/Bouteille_d'oxygene.svg"
"Bouton";"Bouton.svg";"uploads/Bouton.svg"
"Bouton home";"Bouton_home.svg";"uploads/Bouton_home.svg"
"Brasure";"Brasure.svg";"uploads/Brasure.svg"
"Brosse";"Brosse.svg";"uploads/Brosse.svg"
"Bâche de protection";"Bache_de_protection.svg";"uploads/Bache_de_protection.svg"
"Bétonnière";"Betonniere.svg";"uploads/Betonniere.svg"
"Caisse de transport";"Caisse_de_transport.svg";"uploads/Caisse_de_transport.svg"
"Caisse à outils";"Caisse_a_outils.svg";"uploads/Caisse_a_outils.svg"
"Camion";"Camion.svg";"uploads/Camion.svg"
"Caméra";"Camera.svg";"uploads/Camera.svg"
"Caméra arrière";"Camera_arriere.svg";"uploads/Camera_arriere.svg"
"Caméra avant";"Camera_avant.svg";"uploads/Camera_avant.svg"
"Carafe à décanter";"Carafe_a_decanter.svg";"uploads/Carafe_a_decanter.svg"
"Cartons et protections";"Cartons_et_protections.svg";"uploads/Cartons_et_protections.svg"
"Chalumeau";"Chalumeau.svg";"uploads/Chalumeau.svg"
"Cheval";"Cheval.svg";"uploads/Cheval.svg"
"Chevalet";"Chevalet.svg";"uploads/Chevalet.svg"
"Cire dépilatoire";"Cire_depilatoire.svg";"uploads/Cire_depilatoire.svg"
"Cithare";"Cithare.svg";"uploads/Cithare.svg"
"Clarinette";"Clarinette.svg";"uploads/Clarinette.svg"
"Clubs de golf et balles";"Clubs_de_golf_et_balles.svg";"uploads/Clubs_de_golf_et_balles.svg"
"Clé de purge";"Cle_de_purge.svg";"uploads/Cle_de_purge.svg"
"Colle";"Colle.svg";"uploads/Colle.svg"
"Combinaison";"Combinaison.svg";"uploads/Combinaison.svg"
"Contrebasse";"Contrebasse.svg";"uploads/Contrebasse.svg"
"Cor";"Cor.svg";"uploads/Cor.svg"
"Cornemuse";"Cornemuse.svg";"uploads/Cornemuse.svg"
"Coton et démaquillant";"Coton_et_demaquillant.svg";"uploads/Coton_et_demaquillant.svg"
"Coupe branches";"Coupe_branches.svg";"uploads/Coupe_branches.svg"
"Coupe carreaux ou carrelette";"Coupe_carreaux_ou_carrelette.svg";"uploads/Coupe_carreaux_ou_carrelette.svg"
"Coupe griffes";"Coupe_griffes.svg";"uploads/Coupe_griffes.svg"
"Couteau de barbier";"Couteau_de_barbier.svg";"uploads/Couteau_de_barbier.svg"
"Couteau à enduire";"Couteau_a_enduire.svg";"uploads/Couteau_a_enduire.svg"
"Cravache";"Cravache.svg";"uploads/Cravache.svg"
"Crayons et fusains";"Crayons_et_fusains.svg";"uploads/Crayons_et_fusains.svg"
"Cric";"Cric.svg";"uploads/Cric.svg"
"Crochets";"Crochets.svg";"uploads/Crochets.svg"
"Croisillons";"Croisillons.svg";"uploads/Croisillons.svg"
"Disque de sauvegarde";"Disque_de_sauvegarde.svg";"uploads/Disque_de_sauvegarde.svg"
"Djembé";"Djembe.svg";"uploads/Djembe.svg"
"Dominos";"Dominos.svg";"uploads/Dominos.svg"
"Déboucheur";"Deboucheur.svg";"uploads/Deboucheur.svg"
