categorie;service;prestation;eligible_cesu;privée
Animaux;Bien-être des animaux;Consultation comportemental de suivi ;0;1
Animaux;Bien-être des animaux;Consultation comportemental en présentiel (entre 2 et 3 heures);0;1
Animaux;Bien-être des animaux;Consultation comportementale à distance (visio entre 2 et 3 heures);0;1
Animaux;Bien-être des animaux;Naturopathe animalier;0;0
Animaux;Bien-être des animaux;Promenade;0;1
Animaux;Bien-être des animaux;Toiletteur;0;1
Animaux;Bien-être des animaux;promenade ;0;1
Animaux;Débourrage;Débourrage cheval;0;0
Animaux;Débourrage;Débourrage poney;0;0
Animaux;Débourrage;Débourrage poulain;0;0
Animaux;Education des animaux;Balade éducative (1h30);0;1
Animaux;Education des animaux;Education collective (1h30);0;1
Animaux;Education des animaux;Forfait 5 séances (adulte);0;1
Animaux;Education des animaux;Forfait 5 séances (chiot);0;1
Animaux;Education des animaux;Education canine chien de chasse;0;0
Animaux;Education des animaux;Education canine chien de défense;0;0
Animaux;Education des animaux;Education canine classique;0;0
Animaux;Education des animaux;Séance éducation individuelle (adulte);0;1
Animaux;Education des animaux;Séance éducation individuelle (chiot);0;1
Animaux;Entrainement & monte d'animaux;Monte & entraînement cheval;0;0
Animaux;Entrainement & monte d'animaux;Monte & entraînement poney;0;0
Animaux;Entretien des abris;Nettoyage Box;0;0
Animaux;Entretien des abris;Ramassage fumier;0;0
Animaux;Garde d'animaux;Garde d'insecte;0;0
Animaux;Garde d'animaux;Garde d'équins;0;0
Animaux;Garde d'animaux;Garde de chat;0;0
Animaux;Garde d'animaux;Garde de chien;0;0
Animaux;Garde d'animaux;Garde de poisson;0;0
Animaux;Garde d'animaux;Garde de reptile;0;0
Animaux;Garde d'animaux;Garde de rongeur;0;0
Animaux;Garde d'animaux;Garde de tortue;0;0
Animaux;Garde d'animaux;Garde lapins ou hamsters ;0;1
Animaux;Garde d'animaux;Visites à domicile ;0;1
Animaux;Garde d'animaux;pet sitter;0;1
Animaux;Soin des animaux;1/2 ferrure;0;0
Animaux;Soin des animaux;1/2 ferrure;0;0
Animaux;Soin des animaux;Application résine de protection;0;0
Animaux;Soin des animaux;Application silicone amortissant;0;0
Animaux;Soin des animaux;Brossage équin;0;0
Animaux;Soin des animaux;Curage boxes entretien ecuries, distribution des rations;0;1
Animaux;Soin des animaux;Deplacements a partir de 25 kms;0;1
Animaux;Soin des animaux;Ferrure complète;0;0
Animaux;Soin des animaux;Ferrure complète;0;0
Animaux;Soin des animaux;Modification de fers;0;0
Animaux;Soin des animaux;Modification de plaques;0;0
Animaux;Soin des animaux;Mortaises;0;0
Animaux;Soin des animaux;Parage;0;0
Animaux;Soin des animaux;Parage;0;0
Animaux;Soin des animaux;Pose fer effet rolling;0;0
Animaux;Soin des animaux;Pose fers aluminium orthopédique;0;0
Animaux;Soin des animaux;Pose fers aluminium simple;0;0
Animaux;Soin des animaux;Pose fers chevaux lourds;0;0
Animaux;Soin des animaux;Pose fers forgé;0;0
Animaux;Soin des animaux;Pose plaque;0;0
Animaux;Soin des animaux;Soins énergétique et massages pour animaux;0;1
Animaux;Toilettage;Bain chat;0;0
Animaux;Toilettage;Brossage chat;0;0
Animaux;Toilettage;Brossage chien;0;0
Animaux;Toilettage;Coupe ciseaux;0;0
Animaux;Toilettage;Coupe des griffes;0;0
Animaux;Toilettage;Coupe tondeuse chien - 10 kg;0;0
Animaux;Toilettage;Coupe tondeuse chien entre 10 et 25 kg;0;0
Animaux;Toilettage;Démêlage chat;0;0
Animaux;Toilettage;Démêlage+bain;0;0
Animaux;Toilettage;Massage chien;0;0
Animaux;Toilettage;Pose de protege-griffes chat;0;0
Animaux;Toilettage;Soin des sabots et onglons moutons;0;0
Animaux;Toilettage;Tonte chat;0;0
Animaux;Toilettage;Tonte de mouton;0;0
Animaux;Transport d'animaux;Transport d'âne;0;0
Animaux;Transport d'animaux;Transport de cheval;0;0
Animaux;Transport d'animaux;Transport de chien;0;0
Animaux;Transport d'animaux;Transport de poney;0;0
Animaux;Visite et promenade d’animaux;Garde Chat 1 fois par jour (1 heure);0;1
Animaux;Visite et promenade d’animaux;Garde Chat 1 fois par jour (30 min);0;1
Animaux;Visite et promenade d’animaux;Garde Chat 2 fois par jour (2 fois 30 min);0;1
Animaux;Visite et promenade d’animaux;Garde Chien 1 fois par jour (1h avec une promenade de quartier);0;1
Animaux;Visite et promenade d’animaux;Garde Chien 2 fois par jour (2 fois 45 min avec deux promenades de quartier);0;1
Animaux;Visite et promenade d’animaux;Promenade Collective (1h30 /2 heure);0;1
Animaux;Visite et promenade d’animaux;Promenade Individuelle de quartier (30 min);0;1
Animaux;Visite et promenade d’animaux;Promenade Individuelle en forêt (1 heure);0;1
Animaux;Visite et promenade d’animaux;Promenade cheval;0;0
Animaux;Visite et promenade d’animaux;Promenade chien;0;0
Animaux;Visite et promenade d’animaux;Promenade poney;0;0
Animaux;Visite et promenade d’animaux;Promenade âne;0;0
Animaux;Visite et promenade d’animaux;Visite basse-cour;0;0
Animaux;Visite et promenade d’animaux;Visite chat;0;0
Animaux;Visite et promenade d’animaux;Visite chien ;0;1
Animaux;Visite et promenade d’animaux;Visite de tortue;0;0
Animaux;Visite et promenade d’animaux;Visite et entretien aquarium;0;0
Animaux;Visite et promenade d’animaux;Visite et entretien vivarium;0;0
Animaux;Visite et promenade d’animaux;Visite et soin des rongeurs;0;0
Animaux;Visite et promenade d’animaux;Visite et soin terrarium;0;0
Animaux;Visite et promenade d’animaux;Visite équins;0;0
Auto-Moto-Vélo-Nautique;Cours de mécanique;Mécanique auto;0;0
Auto-Moto-Vélo-Nautique;Cours de mécanique;Mécanique moto;0;0
Auto-Moto-Vélo-Nautique;Cours de mécanique;Mécanique quad;0;0
Auto-Moto-Vélo-Nautique;Dépannage;Chauffagiste ;0;1
Auto-Moto-Vélo-Nautique;Dépannage;Remorquage;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Démontage de voiles;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage & détachage de voiles;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage & détachage flying bridge;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage & détachage gorge des coffres;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage & détachage hublots et panneau de descente;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage & détachage inox et accastillage;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage & détachage pont et cockpit;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage & détachage sellerie;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage carburateur aux ultra sons;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage complet cabines et salles d'eau fonds;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage complet cabines et salles d'eau sols;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage complet cabines et salles d'eau vaigrages;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage complet carré plafond;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage complet carré sols;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage complet carré vaigrages;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage de coque;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage et détachage instruments;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage moteur;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard cabines et salles d'eau fonds;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard cabines et salles d'eau sols;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard cabines et salles d'eau vaigrages;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard carré plafond;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard carré sols;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard carré vaigrages;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard flying bridge;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard gorge des coffres;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard hublots et panneau de descente;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard instruments;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard pont et cockpit;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Nettoyage standard sellerie;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Pose - dépose du moteur;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Recherche de panne;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Rénovation teck;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Réparation révision embase;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Révision moteur hors-bord;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Révision moteur in-bord;0;0
Auto-Moto-Vélo-Nautique;Entretien Bateau;Révision pompe à eau;0;0
Auto-Moto-Vélo-Nautique;Entretien Tracteur;Montage de roue;0;0
Auto-Moto-Vélo-Nautique;Entretien Tracteur;Nettoyage tracteur;0;0
Auto-Moto-Vélo-Nautique;Entretien Tracteur;Vidange boite;0;0
Auto-Moto-Vélo-Nautique;Entretien Tracteur;Vidange moteur;0;0
Auto-Moto-Vélo-Nautique;Entretien Trotinette électrique, gyroroue, Hoverboard;Réparation gyroroue;0;0
Auto-Moto-Vélo-Nautique;Entretien Trotinette électrique, gyroroue, Hoverboard;Réparation hoverboard;0;0
Auto-Moto-Vélo-Nautique;Entretien Trotinette électrique, gyroroue, Hoverboard;Réparation trottinette électrique;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Contrôle et réglage synchro carburateur;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Nettoyage;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Nettoyage aux ultra sons;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose bulle;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose d'alarme;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose guidon street;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose kit chaîne;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose lèche roue;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose pare-brise;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose passage de roue;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose passage de roue avec clignotant;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose plaque;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose raccordement GPS;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose échappement ligne et catalyseur;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Pose échappement silencieux seul;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement alternateur;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement amortisseur;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement batterie;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement bobine;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement bougie;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement chambre à aire;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement colonne de direction;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement câble d'embrayage;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement d'ampoule;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement disque;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement durite de freins;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement filtre à air;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement plaquette;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement roulement de roue;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement régulateur;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Remplacement étrier;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Tension et graissage de chaîne;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Vidange des freins;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Vidange embrayage;0;0
Auto-Moto-Vélo-Nautique;Entretien moto, scooter, quad;Vidange moteur;0;0
