Catégories,Tags catégorie,Description catégorie,Services,Tag Services,Description service,Filtre présentation,Prestation,Tags prestation,Option,Métier,Equipement,Facturation,Calculateur, , , , , , , , , , , , , , , , , , 
Service à la personne,,,Accompagnement,,,,Accompagnement d'enfant,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Accompagnement,,,,Accompagnement de personnes âgées,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Accompagnement,,,,Accompagnement de personnes handicapées,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Jardin & équipements,,,Affûtage outils de jardin,,,,Affûtage d'outils,,,Affûteur,,unitaire,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Repas midi personnes âgées,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Repas soir personnes âgées,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Toilette personnes âgées,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Compagnie ,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Livraison de courses,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Livraison de repas ,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Assistance administrative,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes âgées,,,,Aide à la lecture,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Aide à la lecture,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Repas midi personnes ,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Repas soir personnes ,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Toilette personnes ,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Compagnie ,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Livraison de courses,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Livraison de repas ,,,Assistant de vie,,par prestation,Nombre,,,,,,,,,,,,,,,,,,
Service à la personne,,,Aide aux personnes handicapées,,,,Assistance administrative,,,Assistant de vie,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animation comédien,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animation danseur,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animation humoriste,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animation imitateur,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animation jongleur,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animation magicien,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Stripteaser,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Stripteaseuse,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animateur de soirée,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Pack animation midi et soirée,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Adulte ,Animation sosie,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Animation clown,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Animation comédien,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Animation danseur,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Animation jongleur,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Animation magicien,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Sculpteur de ballons,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Animateur de soirée,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Evènementiel ,,,Animation ,,,Enfant ,Animateur - Animatrice,,,Animateur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours d'allemand,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours d'anglais,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours d'arabe,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de chinois,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de japonais,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
Langues,,,Apprentissage langues,,,,Cours de néerlandais,,,Professeur,,de l'heure,Nombre,,,,,,,,,,,,,,,,,,
