# Mapping generated from sheet data-prestations, input data.csv output 4_prestations_1.csv
"category";"service";"label";"search_filter";"price";"billing";"filter_presentation";"calculating";"job"
"Service à la personne";"Accompagnement";"Accompagnement d'enfant";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Service à la personne";"Accompagnement";"Accompagnement de personnes agées";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Service à la personne";"Accompagnement";"Accompagnement de personnes handicapées";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Jardin & équipements";"Affutage outils de jardin";"Affutage d'outils";"";0;"unitaire";"";"Nombre";"Affuteur"
"Service à la personne";"Aide aux personnes agées";"Repas midi personnes agées";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes agées";"Repas soir personnes agées";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes agées";"Toilette personnes agées";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes agées";"Compagnie ";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes agées";"Livraison de courses";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes agées";"Livraison de repas ";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes agées";"Assistance administrative";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes agées";"Aide à la lecture";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Aide à la lecture";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Repas midi personnes ";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Repas soir personnes ";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Toilette personnes ";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Compagnie ";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Livraison de courses";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Livraison de repas ";"";0;"par prestation";"";"Nombre";"Assistant de vie"
"Service à la personne";"Aide aux personnes handicapées";"Assistance administrative";"";0;"de l'heure";"";"Nombre";"Assistant de vie"
"Evènementiel ";"Animation ";"Animation comedien";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation danseur";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation humoriste";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation imitateur";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation jongleur";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation magicien";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Stripteaser";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Stripteaseuse";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animateur de soirée";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Pack animation midi et soirée";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation sosie";"";0;"de l'heure";"Adulte ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation clown";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation comédien";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation danseur";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation jongleur";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animation magicien";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Sculpteur de ballons";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animateur de soirée";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Evènementiel ";"Animation ";"Animateur - Animatrice";"";0;"de l'heure";"Enfant ";"Nombre";"Animateur"
"Langues";"Apprentissage langues";"Cours d'allemand";"";0;"de l'heure";"";"Nombre";"Professeur"
"Langues";"Apprentissage langues";"Cours d'anglais";"";0;"de l'heure";"";"Nombre";"Professeur"
